date,tmax,tmin,tavg,city,year
2010-06-01,30.9,20.1,25.5,St. Louis,2010
2010-06-02,31.0,21.1,26.05,St. Louis,2010
2010-06-03,27.6,20.5,24.05,St. Louis,2010
2010-06-04,31.3,18.8,25.05,St. Louis,2010
2010-06-05,30.2,22.9,26.549999999999997,St. Louis,2010
2010-06-06,26.9,19.5,23.2,St. Louis,2010
2010-06-07,27.6,18.8,23.200000000000003,St. Louis,2010
2010-06-08,29.7,20.4,25.049999999999997,St. Louis,2010
2010-06-09,28.4,21.5,24.95,St. Louis,2010
2010-06-10,30.4,18.0,24.2,St. Louis,2010
2010-06-11,29.0,22.9,25.95,St. Louis,2010
2010-06-12,31.7,23.1,27.4,St. Louis,2010
2010-06-13,31.2,21.4,26.299999999999997,St. Louis,2010
2010-06-14,31.4,23.3,27.35,St. Louis,2010
2010-06-15,28.1,21.2,24.65,St. Louis,2010
2010-06-16,30.1,20.4,25.25,St. Louis,2010
2010-06-17,30.2,20.8,25.5,St. Louis,2010
2010-06-18,33.5,23.3,28.4,St. Louis,2010
2010-06-19,33.1,23.1,28.1,St. Louis,2010
2010-06-20,34.2,22.9,28.55,St. Louis,2010
2010-06-21,34.7,24.4,29.55,St. Louis,2010
2010-06-22,34.8,24.5,29.65,St. Louis,2010
2010-06-23,35.1,25.5,30.3,St. Louis,2010
2010-06-24,29.5,22.3,25.9,St. Louis,2010
2010-06-25,32.1,19.6,25.85,St. Louis,2010
2010-06-26,34.4,23.7,29.049999999999997,St. Louis,2010
2010-06-27,35.6,25.3,30.450000000000003,St. Louis,2010
2010-06-28,31.3,23.3,27.3,St. Louis,2010
2010-06-29,27.4,20.0,23.7,St. Louis,2010
2010-06-30,27.3,17.6,22.450000000000003,St. Louis,2010
2010-07-01,28.0,16.6,22.3,St. Louis,2010
2010-07-02,29.0,16.1,22.55,St. Louis,2010
2010-07-03,32.9,15.7,24.299999999999997,St. Louis,2010
2010-07-04,33.3,23.0,28.15,St. Louis,2010
2010-07-05,33.0,25.2,29.1,St. Louis,2010
2010-07-06,33.2,24.8,29.0,St. Louis,2010
2010-07-07,32.4,23.2,27.799999999999997,St. Louis,2010
2010-07-08,30.7,24.4,27.549999999999997,St. Louis,2010
2010-07-09,29.7,23.5,26.6,St. Louis,2010
2010-07-10,30.3,20.1,25.200000000000003,St. Louis,2010
2010-07-11,31.0,20.5,25.75,St. Louis,2010
2010-07-12,30.0,22.2,26.1,St. Louis,2010
2010-07-13,31.3,22.5,26.9,St. Louis,2010
2010-07-14,35.2,23.2,29.200000000000003,St. Louis,2010
2010-07-15,32.2,26.1,29.150000000000002,St. Louis,2010
2010-07-16,33.0,24.4,28.7,St. Louis,2010
2010-07-17,33.0,23.0,28.0,St. Louis,2010
2010-07-18,35.4,25.1,30.25,St. Louis,2010
2010-07-19,33.7,24.6,29.150000000000002,St. Louis,2010
2010-07-20,33.6,25.1,29.35,St. Louis,2010
2010-07-21,31.5,24.2,27.85,St. Louis,2010
2010-07-22,34.8,24.5,29.65,St. Louis,2010
2010-07-23,35.3,26.8,31.049999999999997,St. Louis,2010
2010-07-24,35.1,26.1,30.6,St. Louis,2010
2010-07-25,30.4,24.3,27.35,St. Louis,2010
2010-07-26,30.1,24.5,27.3,St. Louis,2010
2010-07-27,30.9,23.8,27.35,St. Louis,2010
2010-07-28,33.1,25.0,29.05,St. Louis,2010
2010-07-29,31.2,25.2,28.2,St. Louis,2010
2010-07-30,29.5,23.7,26.6,St. Louis,2010
2010-07-31,30.4,23.7,27.049999999999997,St. Louis,2010
2010-08-01,30.3,21.1,25.700000000000003,St. Louis,2010
2010-08-02,32.9,20.5,26.7,St. Louis,2010
2010-08-03,38.7,26.0,32.35,St. Louis,2010
2010-08-04,37.6,26.3,31.950000000000003,St. Louis,2010
2010-08-05,32.9,24.8,28.85,St. Louis,2010
2010-08-06,31.0,22.3,26.65,St. Louis,2010
2010-08-07,31.7,19.9,25.799999999999997,St. Louis,2010
2010-08-08,34.5,21.9,28.2,St. Louis,2010
2010-08-09,35.0,24.9,29.95,St. Louis,2010
2010-08-10,36.9,25.7,31.299999999999997,St. Louis,2010
2010-08-11,36.8,25.7,31.25,St. Louis,2010
2010-08-12,36.3,26.1,31.2,St. Louis,2010
2010-08-13,37.2,25.3,31.25,St. Louis,2010
2010-08-14,36.3,27.0,31.65,St. Louis,2010
2010-08-15,32.7,25.7,29.200000000000003,St. Louis,2010
2010-08-16,30.8,20.8,25.8,St. Louis,2010
2010-08-17,30.3,19.4,24.85,St. Louis,2010
2010-08-18,32.0,22.9,27.45,St. Louis,2010
2010-08-19,34.5,23.1,28.8,St. Louis,2010
2010-08-20,34.5,25.0,29.75,St. Louis,2010
2010-08-21,30.9,25.4,28.15,St. Louis,2010
2010-08-22,32.1,23.9,28.0,St. Louis,2010
2010-08-23,30.8,20.6,25.700000000000003,St. Louis,2010
2010-08-24,30.1,20.3,25.200000000000003,St. Louis,2010
2010-08-25,27.5,20.7,24.1,St. Louis,2010
2010-08-26,27.6,15.9,21.75,St. Louis,2010
2010-08-27,29.2,16.2,22.7,St. Louis,2010
2010-08-28,33.3,16.2,24.75,St. Louis,2010
2010-08-29,32.6,23.9,28.25,St. Louis,2010
2010-08-30,29.2,23.5,26.35,St. Louis,2010
2010-08-31,32.7,23.3,28.0,St. Louis,2010
2011-06-01,31.1,20.2,25.65,St. Louis,2011
2011-06-02,29.3,20.6,24.950000000000003,St. Louis,2011
2011-06-03,34.4,21.8,28.1,St. Louis,2011
2011-06-04,35.0,23.3,29.15,St. Louis,2011
2011-06-05,32.3,21.4,26.849999999999998,St. Louis,2011
2011-06-06,34.6,21.3,27.950000000000003,St. Louis,2011
2011-06-07,34.7,22.8,28.75,St. Louis,2011
2011-06-08,34.5,23.6,29.05,St. Louis,2011
2011-06-09,32.8,23.6,28.2,St. Louis,2011
2011-06-10,33.1,22.3,27.700000000000003,St. Louis,2011
2011-06-11,26.6,20.2,23.4,St. Louis,2011
2011-06-12,25.4,18.0,21.7,St. Louis,2011
2011-06-13,26.5,17.6,22.05,St. Louis,2011
2011-06-14,26.9,18.7,22.799999999999997,St. Louis,2011
2011-06-15,29.2,19.5,24.35,St. Louis,2011
2011-06-16,30.8,16.7,23.75,St. Louis,2011
2011-06-17,28.8,20.2,24.5,St. Louis,2011
2011-06-18,31.3,21.7,26.5,St. Louis,2011
2011-06-19,31.3,21.3,26.3,St. Louis,2011
2011-06-20,32.9,24.3,28.6,St. Louis,2011
2011-06-21,29.7,21.6,25.65,St. Louis,2011
2011-06-22,26.9,21.2,24.049999999999997,St. Louis,2011
2011-06-23,24.5,18.3,21.4,St. Louis,2011
2011-06-24,27.3,16.0,21.65,St. Louis,2011
2011-06-25,28.8,18.5,23.65,St. Louis,2011
2011-06-26,29.4,21.3,25.35,St. Louis,2011
2011-06-27,31.9,23.9,27.9,St. Louis,2011
2011-06-28,28.3,20.3,24.3,St. Louis,2011
2011-06-29,29.9,16.7,23.299999999999997,St. Louis,2011
2011-06-30,32.3,19.4,25.849999999999998,St. Louis,2011
2011-07-01,33.2,22.0,27.6,St. Louis,2011
2011-07-02,35.5,22.4,28.95,St. Louis,2011
2011-07-03,29.7,23.3,26.5,St. Louis,2011
2011-07-04,28.5,22.1,25.3,St. Louis,2011
2011-07-05,30.8,21.7,26.25,St. Louis,2011
2011-07-06,32.3,22.7,27.5,St. Louis,2011
2011-07-07,30.5,22.5,26.5,St. Louis,2011
2011-07-08,29.7,21.6,25.65,St. Louis,2011
2011-07-09,31.9,20.1,26.0,St. Louis,2011
2011-07-10,34.5,22.7,28.6,St. Louis,2011
2011-07-11,36.4,27.1,31.75,St. Louis,2011
2011-07-12,35.8,26.0,30.9,St. Louis,2011
2011-07-13,30.6,24.9,27.75,St. Louis,2011
2011-07-14,30.8,22.4,26.6,St. Louis,2011
2011-07-15,31.8,22.3,27.05,St. Louis,2011
2011-07-16,32.7,22.0,27.35,St. Louis,2011
2011-07-17,33.4,23.6,28.5,St. Louis,2011
2011-07-18,33.8,24.5,29.15,St. Louis,2011
2011-07-19,35.2,25.2,30.200000000000003,St. Louis,2011
2011-07-20,37.4,26.1,31.75,St. Louis,2011
2011-07-21,37.4,26.7,32.05,St. Louis,2011
2011-07-22,37.2,27.7,32.45,St. Louis,2011
2011-07-23,35.8,26.5,31.15,St. Louis,2011
2011-07-24,34.0,26.5,30.25,St. Louis,2011
2011-07-25,33.6,24.5,29.05,St. Louis,2011
2011-07-26,35.2,23.6,29.400000000000002,St. Louis,2011
2011-07-27,36.8,24.3,30.549999999999997,St. Louis,2011
2011-07-28,37.1,25.2,31.15,St. Louis,2011
2011-07-29,34.5,25.5,30.0,St. Louis,2011
2011-07-30,32.2,24.8,28.5,St. Louis,2011
2011-07-31,33.2,25.4,29.3,St. Louis,2011
2011-08-01,35.7,24.5,30.1,St. Louis,2011
2011-08-02,38.6,24.0,31.3,St. Louis,2011
2011-08-03,34.5,27.2,30.85,St. Louis,2011
2011-08-04,32.7,25.1,28.900000000000002,St. Louis,2011
2011-08-05,29.7,24.7,27.2,St. Louis,2011
2011-08-06,34.7,25.0,29.85,St. Louis,2011
2011-08-07,36.1,25.2,30.65,St. Louis,2011
2011-08-08,31.3,24.9,28.1,St. Louis,2011
2011-08-09,31.9,21.7,26.799999999999997,St. Louis,2011
2011-08-10,27.6,21.9,24.75,St. Louis,2011
2011-08-11,27.9,19.0,23.45,St. Louis,2011
2011-08-12,31.3,18.3,24.8,St. Louis,2011
2011-08-13,31.3,21.3,26.3,St. Louis,2011
2011-08-14,27.8,19.7,23.75,St. Louis,2011
2011-08-15,26.7,17.8,22.25,St. Louis,2011
2011-08-16,28.2,16.6,22.4,St. Louis,2011
2011-08-17,30.3,20.7,25.5,St. Louis,2011
2011-08-18,33.2,22.5,27.85,St. Louis,2011
2011-08-19,31.5,24.2,27.85,St. Louis,2011
2011-08-20,31.6,22.9,27.25,St. Louis,2011
2011-08-21,31.5,22.4,26.95,St. Louis,2011
2011-08-22,30.3,22.3,26.3,St. Louis,2011
2011-08-23,33.3,22.8,28.049999999999997,St. Louis,2011
2011-08-24,37.0,26.5,31.75,St. Louis,2011
2011-08-25,29.6,21.9,25.75,St. Louis,2011
2011-08-26,30.6,18.8,24.700000000000003,St. Louis,2011
2011-08-27,32.0,20.8,26.4,St. Louis,2011
2011-08-28,29.3,19.7,24.5,St. Louis,2011
2011-08-29,29.3,19.4,24.35,St. Louis,2011
2011-08-30,32.0,19.2,25.6,St. Louis,2011
2011-08-31,37.0,22.9,29.95,St. Louis,2011
2012-06-01,18.8,11.2,15.0,St. Louis,2012
2012-06-02,23.5,10.9,17.2,St. Louis,2012
2012-06-03,29.6,13.6,21.6,St. Louis,2012
2012-06-04,31.3,16.3,23.8,St. Louis,2012
2012-06-05,27.4,16.9,22.15,St. Louis,2012
2012-06-06,25.7,15.6,20.65,St. Louis,2012
2012-06-07,27.5,14.6,21.05,St. Louis,2012
2012-06-08,29.6,16.6,23.1,St. Louis,2012
2012-06-09,30.9,16.0,23.45,St. Louis,2012
2012-06-10,30.4,22.2,26.299999999999997,St. Louis,2012
2012-06-11,27.4,21.7,24.549999999999997,St. Louis,2012
2012-06-12,27.9,19.8,23.85,St. Louis,2012
2012-06-13,28.4,14.1,21.25,St. Louis,2012
2012-06-14,31.9,15.6,23.75,St. Louis,2012
2012-06-15,34.4,18.3,26.35,St. Louis,2012
2012-06-16,34.1,23.5,28.8,St. Louis,2012
2012-06-17,31.2,21.9,26.549999999999997,St. Louis,2012
2012-06-18,34.9,24.3,29.6,St. Louis,2012
2012-06-19,33.3,24.5,28.9,St. Louis,2012
2012-06-20,34.4,23.9,29.15,St. Louis,2012
2012-06-21,30.5,22.5,26.5,St. Louis,2012
2012-06-22,30.4,19.2,24.799999999999997,St. Louis,2012
2012-06-23,31.7,18.3,25.0,St. Louis,2012
2012-06-24,36.0,22.2,29.1,St. Louis,2012
2012-06-25,33.0,23.9,28.45,St. Louis,2012
2012-06-26,30.8,18.2,24.5,St. Louis,2012
2012-06-27,36.9,18.6,27.75,St. Louis,2012
2012-06-28,41.3,24.6,32.95,St. Louis,2012
2012-06-29,39.7,24.1,31.900000000000002,St. Louis,2012
2012-06-30,39.9,26.2,33.05,St. Louis,2012
2012-07-01,37.9,26.5,32.2,St. Louis,2012
2012-07-02,37.0,25.5,31.25,St. Louis,2012
2012-07-03,37.0,24.3,30.65,St. Louis,2012
2012-07-04,38.7,26.3,32.5,St. Louis,2012
2012-07-05,39.2,26.3,32.75,St. Louis,2012
2012-07-06,39.6,27.4,33.5,St. Louis,2012
2012-07-07,39.5,28.2,33.85,St. Louis,2012
2012-07-08,34.7,27.9,31.3,St. Louis,2012
2012-07-09,32.1,22.5,27.3,St. Louis,2012
2012-07-10,33.1,22.9,28.0,St. Louis,2012
2012-07-11,33.0,23.4,28.2,St. Louis,2012
2012-07-12,33.8,22.9,28.349999999999998,St. Louis,2012
2012-07-13,33.1,22.5,27.8,St. Louis,2012
2012-07-14,31.7,23.9,27.799999999999997,St. Louis,2012
2012-07-15,34.0,22.5,28.25,St. Louis,2012
2012-07-16,34.6,25.1,29.85,St. Louis,2012
2012-07-17,36.6,26.4,31.5,St. Louis,2012
2012-07-18,38.9,26.7,32.8,St. Louis,2012
2012-07-19,39.7,28.6,34.150000000000006,St. Louis,2012
2012-07-20,31.2,25.5,28.35,St. Louis,2012
2012-07-21,34.0,21.8,27.9,St. Louis,2012
2012-07-22,36.9,22.6,29.75,St. Louis,2012
2012-07-23,39.5,26.3,32.9,St. Louis,2012
2012-07-24,39.4,28.8,34.1,St. Louis,2012
2012-07-25,40.3,29.7,35.0,St. Louis,2012
2012-07-26,34.9,27.5,31.2,St. Louis,2012
2012-07-27,35.1,24.5,29.8,St. Louis,2012
2012-07-28,32.7,21.7,27.200000000000003,St. Louis,2012
2012-07-29,30.8,23.2,27.0,St. Louis,2012
2012-07-30,33.8,24.4,29.099999999999998,St. Louis,2012
2012-07-31,37.4,22.3,29.85,St. Louis,2012
2012-08-01,36.9,25.2,31.049999999999997,St. Louis,2012
2012-08-02,36.2,24.0,30.1,St. Louis,2012
2012-08-03,33.6,23.6,28.6,St. Louis,2012
2012-08-04,36.8,26.3,31.549999999999997,St. Louis,2012
2012-08-05,31.2,23.7,27.45,St. Louis,2012
2012-08-06,32.6,20.2,26.4,St. Louis,2012
2012-08-07,35.6,21.5,28.55,St. Louis,2012
2012-08-08,37.2,22.7,29.950000000000003,St. Louis,2012
2012-08-09,32.8,21.1,26.95,St. Louis,2012
2012-08-10,25.5,20.7,23.1,St. Louis,2012
2012-08-11,29.0,17.5,23.25,St. Louis,2012
2012-08-12,30.3,18.6,24.450000000000003,St. Louis,2012
2012-08-13,28.8,18.5,23.65,St. Louis,2012
2012-08-14,27.0,19.0,23.0,St. Louis,2012
2012-08-15,31.5,17.6,24.55,St. Louis,2012
2012-08-16,32.4,23.2,27.799999999999997,St. Louis,2012
2012-08-17,26.4,18.3,22.35,St. Louis,2012
2012-08-18,27.5,15.7,21.6,St. Louis,2012
2012-08-19,27.6,18.3,22.950000000000003,St. Louis,2012
2012-08-20,27.9,15.7,21.799999999999997,St. Louis,2012
2012-08-21,29.7,18.0,23.85,St. Louis,2012
2012-08-22,33.3,17.8,25.549999999999997,St. Louis,2012
2012-08-23,34.9,20.0,27.45,St. Louis,2012
2012-08-24,33.8,21.6,27.7,St. Louis,2012
2012-08-25,32.8,22.0,27.4,St. Louis,2012
2012-08-26,31.4,22.4,26.9,St. Louis,2012
2012-08-27,30.6,22.6,26.6,St. Louis,2012
2012-08-28,32.3,19.4,25.849999999999998,St. Louis,2012
2012-08-29,32.4,19.3,25.85,St. Louis,2012
2012-08-30,34.7,20.1,27.400000000000002,St. Louis,2012
2012-08-31,27.9,23.2,25.549999999999997,St. Louis,2012
2013-06-01,25.3,18.6,21.950000000000003,St. Louis,2013
2013-06-02,19.8,16.3,18.05,St. Louis,2013
2013-06-03,20.7,14.2,17.45,St. Louis,2013
2013-06-04,24.4,10.7,17.549999999999997,St. Louis,2013
2013-06-05,27.2,14.3,20.75,St. Louis,2013
2013-06-06,25.2,18.1,21.65,St. Louis,2013
2013-06-07,22.8,15.5,19.15,St. Louis,2013
2013-06-08,24.7,15.5,20.1,St. Louis,2013
2013-06-09,26.3,17.7,22.0,St. Louis,2013
2013-06-10,25.6,17.7,21.65,St. Louis,2013
2013-06-11,33.8,15.5,24.65,St. Louis,2013
2013-06-12,34.5,23.3,28.9,St. Louis,2013
2013-06-13,27.9,20.2,24.049999999999997,St. Louis,2013
2013-06-14,28.6,18.6,23.6,St. Louis,2013
2013-06-15,30.0,20.3,25.15,St. Louis,2013
2013-06-16,27.7,20.6,24.15,St. Louis,2013
2013-06-17,29.5,19.3,24.4,St. Louis,2013
2013-06-18,30.7,18.8,24.75,St. Louis,2013
2013-06-19,28.7,18.4,23.549999999999997,St. Louis,2013
2013-06-20,31.8,18.6,25.200000000000003,St. Louis,2013
2013-06-21,32.5,21.3,26.9,St. Louis,2013
2013-06-22,31.6,23.3,27.450000000000003,St. Louis,2013
2013-06-23,31.7,22.1,26.9,St. Louis,2013
2013-06-24,33.1,21.9,27.5,St. Louis,2013
2013-06-25,33.3,24.3,28.799999999999997,St. Louis,2013
2013-06-26,33.4,22.9,28.15,St. Louis,2013
2013-06-27,34.3,24.1,29.2,St. Louis,2013
2013-06-28,30.9,23.3,27.1,St. Louis,2013
2013-06-29,27.3,19.4,23.35,St. Louis,2013
2013-06-30,24.5,17.9,21.2,St. Louis,2013
2013-07-01,26.1,18.3,22.200000000000003,St. Louis,2013
2013-07-02,19.4,17.3,18.35,St. Louis,2013
2013-07-03,26.2,15.9,21.05,St. Louis,2013
2013-07-04,28.1,16.0,22.05,St. Louis,2013
2013-07-05,28.5,17.9,23.2,St. Louis,2013
2013-07-06,30.0,19.1,24.55,St. Louis,2013
2013-07-07,32.2,20.2,26.200000000000003,St. Louis,2013
2013-07-08,33.5,22.9,28.2,St. Louis,2013
2013-07-09,34.1,24.9,29.5,St. Louis,2013
2013-07-10,34.6,24.8,29.700000000000003,St. Louis,2013
2013-07-11,28.7,21.2,24.95,St. Louis,2013
2013-07-12,29.1,17.2,23.15,St. Louis,2013
2013-07-13,29.5,17.1,23.3,St. Louis,2013
2013-07-14,30.9,19.1,25.0,St. Louis,2013
2013-07-15,32.3,22.8,27.549999999999997,St. Louis,2013
2013-07-16,33.1,23.2,28.15,St. Louis,2013
2013-07-17,32.9,24.3,28.6,St. Louis,2013
2013-07-18,33.9,23.7,28.799999999999997,St. Louis,2013
2013-07-19,34.8,24.6,29.7,St. Louis,2013
2013-07-20,32.8,25.1,28.95,St. Louis,2013
2013-07-21,28.5,22.9,25.7,St. Louis,2013
2013-07-22,31.9,21.7,26.799999999999997,St. Louis,2013
2013-07-23,33.5,24.0,28.75,St. Louis,2013
2013-07-24,26.5,20.4,23.45,St. Louis,2013
2013-07-25,27.2,16.7,21.95,St. Louis,2013
2013-07-26,24.4,18.9,21.65,St. Louis,2013
2013-07-27,23.8,16.7,20.25,St. Louis,2013
2013-07-28,26.8,14.8,20.8,St. Louis,2013
2013-07-29,26.1,15.9,21.0,St. Louis,2013
2013-07-30,24.6,19.0,21.8,St. Louis,2013
2013-07-31,27.0,19.8,23.4,St. Louis,2013
2013-08-01,28.4,18.6,23.5,St. Louis,2013
2013-08-02,30.2,20.5,25.35,St. Louis,2013
2013-08-03,28.4,21.1,24.75,St. Louis,2013
2013-08-04,27.3,18.0,22.65,St. Louis,2013
2013-08-05,24.7,20.2,22.45,St. Louis,2013
2013-08-06,30.6,21.3,25.950000000000003,St. Louis,2013
2013-08-07,30.6,23.3,26.950000000000003,St. Louis,2013
2013-08-08,28.8,21.8,25.3,St. Louis,2013
2013-08-09,28.1,21.3,24.700000000000003,St. Louis,2013
2013-08-10,28.8,20.9,24.85,St. Louis,2013
2013-08-11,30.0,18.9,24.45,St. Louis,2013
2013-08-12,26.1,21.6,23.85,St. Louis,2013
2013-08-13,26.8,19.7,23.25,St. Louis,2013
2013-08-14,23.3,14.2,18.75,St. Louis,2013
2013-08-15,23.8,14.4,19.1,St. Louis,2013
2013-08-16,24.6,14.5,19.55,St. Louis,2013
2013-08-17,27.1,16.8,21.950000000000003,St. Louis,2013
2013-08-18,28.2,17.2,22.7,St. Louis,2013
2013-08-19,29.1,17.7,23.4,St. Louis,2013
2013-08-20,30.1,18.8,24.450000000000003,St. Louis,2013
2013-08-21,32.1,19.4,25.75,St. Louis,2013
2013-08-22,32.4,21.6,27.0,St. Louis,2013
2013-08-23,31.4,22.1,26.75,St. Louis,2013
2013-08-24,32.3,20.6,26.45,St. Louis,2013
2013-08-25,33.2,19.4,26.3,St. Louis,2013
2013-08-26,33.9,22.4,28.15,St. Louis,2013
2013-08-27,34.7,24.1,29.400000000000002,St. Louis,2013
2013-08-28,34.6,23.1,28.85,St. Louis,2013
2013-08-29,35.1,24.6,29.85,St. Louis,2013
2013-08-30,36.6,24.1,30.35,St. Louis,2013
2013-08-31,38.8,25.8,32.3,St. Louis,2013
2014-06-01,29.8,20.9,25.35,St. Louis,2014
2014-06-02,26.3,22.1,24.200000000000003,St. Louis,2014
2014-06-03,30.8,20.4,25.6,St. Louis,2014
2014-06-04,29.8,20.7,25.25,St. Louis,2014
2014-06-05,25.2,17.5,21.35,St. Louis,2014
2014-06-06,26.5,18.0,22.25,St. Louis,2014
2014-06-07,26.6,19.3,22.950000000000003,St. Louis,2014
2014-06-08,25.2,17.5,21.35,St. Louis,2014
2014-06-09,24.1,16.4,20.25,St. Louis,2014
2014-06-10,25.6,16.2,20.9,St. Louis,2014
2014-06-11,23.5,17.9,20.7,St. Louis,2014
2014-06-12,26.3,15.9,21.1,St. Louis,2014
2014-06-13,23.8,15.0,19.4,St. Louis,2014
2014-06-14,26.3,11.6,18.95,St. Louis,2014
2014-06-15,29.3,18.0,23.65,St. Louis,2014
2014-06-16,31.6,21.1,26.35,St. Louis,2014
2014-06-17,32.0,23.7,27.85,St. Louis,2014
2014-06-18,32.3,23.7,28.0,St. Louis,2014
2014-06-19,32.2,23.3,27.75,St. Louis,2014
2014-06-20,31.9,23.3,27.6,St. Louis,2014
2014-06-21,32.5,20.8,26.65,St. Louis,2014
2014-06-22,29.0,20.8,24.9,St. Louis,2014
2014-06-23,29.9,22.5,26.2,St. Louis,2014
2014-06-24,28.3,21.1,24.700000000000003,St. Louis,2014
2014-06-25,30.3,18.3,24.3,St. Louis,2014
2014-06-26,30.9,21.1,26.0,St. Louis,2014
2014-06-27,29.5,22.0,25.75,St. Louis,2014
2014-06-28,30.2,21.8,26.0,St. Louis,2014
2014-06-29,28.7,22.6,25.65,St. Louis,2014
2014-06-30,32.3,23.4,27.849999999999998,St. Louis,2014
2014-07-01,30.6,22.9,26.75,St. Louis,2014
2014-07-02,24.0,18.6,21.3,St. Louis,2014
2014-07-03,23.7,15.5,19.6,St. Louis,2014
2014-07-04,26.1,15.6,20.85,St. Louis,2014
2014-07-05,26.9,14.6,20.75,St. Louis,2014
2014-07-06,31.1,19.3,25.200000000000003,St. Louis,2014
2014-07-07,32.2,23.6,27.900000000000002,St. Louis,2014
2014-07-08,29.3,21.9,25.6,St. Louis,2014
2014-07-09,28.2,18.2,23.2,St. Louis,2014
2014-07-10,27.9,16.6,22.25,St. Louis,2014
2014-07-11,30.0,17.7,23.85,St. Louis,2014
2014-07-12,33.2,23.6,28.400000000000002,St. Louis,2014
2014-07-13,32.1,24.3,28.200000000000003,St. Louis,2014
2014-07-14,29.9,20.9,25.4,St. Louis,2014
2014-07-15,21.6,16.4,19.0,St. Louis,2014
2014-07-16,23.2,15.3,19.25,St. Louis,2014
2014-07-17,25.2,15.4,20.3,St. Louis,2014
2014-07-18,26.1,16.7,21.4,St. Louis,2014
2014-07-19,26.1,15.3,20.700000000000003,St. Louis,2014
2014-07-20,28.1,16.0,22.05,St. Louis,2014
2014-07-21,30.6,17.2,23.9,St. Louis,2014
2014-07-22,32.5,19.7,26.1,St. Louis,2014
2014-07-23,28.1,21.2,24.65,St. Louis,2014
2014-07-24,25.6,16.0,20.8,St. Louis,2014
2014-07-25,27.2,16.3,21.75,St. Louis,2014
2014-07-26,33.7,21.3,27.5,St. Louis,2014
2014-07-27,32.2,22.8,27.5,St. Louis,2014
2014-07-28,24.9,18.8,21.85,St. Louis,2014
2014-07-29,24.7,14.4,19.55,St. Louis,2014
2014-07-30,27.1,16.3,21.700000000000003,St. Louis,2014
2014-07-31,27.7,18.1,22.9,St. Louis,2014
2014-08-01,28.1,17.3,22.700000000000003,St. Louis,2014
2014-08-02,28.8,17.3,23.05,St. Louis,2014
2014-08-03,29.8,16.7,23.25,St. Louis,2014
2014-08-04,30.8,18.7,24.75,St. Louis,2014
2014-08-05,30.3,20.2,25.25,St. Louis,2014
2014-08-06,29.7,20.7,25.2,St. Louis,2014
2014-08-07,23.2,20.7,21.95,St. Louis,2014
2014-08-08,27.5,20.9,24.2,St. Louis,2014
2014-08-09,26.1,20.9,23.5,St. Louis,2014
2014-08-10,27.5,20.0,23.75,St. Louis,2014
2014-08-11,28.4,21.5,24.95,St. Louis,2014
